섬코드,섬이름,시군구,Y_time_emergency,LISA_cluster
461101001,고하도,목포시,13.3635,LL(양호집적)
461101002,율도,목포시,11.391109414549588,LL(양호집적)
461101003,달리도,목포시,50.10495354558055,LL(양호집적)
461101004,외달도,목포시,51.56369214860658,LL(양호집적)
461101005,장좌도,목포시,9.256793361106553,LL(양호집적)
461101006,우도,목포시,9.935184573819583,LL(양호집적)
461301001,야도,여수시,6.500145016257929,LL(양호집적)
461301002,대경도,여수시,11.374570201411716,LL(양호집적)
461301003,소경도,여수시,9.717070776029498,LL(양호집적)
461301004,묘도,여수시,14.079,LL(양호집적)
461301005,돌산도,여수시,13.797,LL(양호집적)
461301006,송도(돌산읍),여수시,39.93218103613138,비유의
461301007,금죽도,여수시,17.166927283893017,LL(양호집적)
461301008,달천도,여수시,15.306,LL(양호집적)
461301009,송도(율촌면),여수시,22.46036874334656,LL(양호집적)
461301010,소늑도,여수시,22.28251323961676,LL(양호집적)
461301011,대늑도,여수시,21.005862563487817,LL(양호집적)
461301012,운두도,여수시,25.287975243921466,LL(양호집적)
461301013,금오도,여수시,54.31330998414237,비유의
461301015,안도,여수시,61.664852275648784,비유의
461301016,부도,여수시,65.66236658324453,비유의
461301017,연도,여수시,75.52079444921532,비유의
461301018,대두라도,여수시,45.27128809329549,비유의
461301019,소두라도,여수시,44.75988856478645,비유의
461301020,나발도,여수시,43.20798805266014,비유의
461301021,화태도,여수시,41.988,비유의
461301022,대횡간도,여수시,51.87963872814228,비유의
461301023,소횡간도,여수시,54.29437225498196,비유의
461301024,백야도,여수시,33.9675,비유의
461301025,월호도,여수시,45.0305638155488,비유의
461301026,자봉도,여수시,49.37589147791792,비유의
461301027,개도,여수시,45.45133039201485,비유의
461301028,제도,여수시,38.382062570151135,비유의
461301029,상화도,여수시,39.97065033006402,비유의
461301030,하화도,여수시,39.44620413078946,비유의
461301031,사도,여수시,52.79539252998032,비유의
461301032,낭도,여수시,47.3625,비유의
461301033,추도,여수시,54.3062439043313,비유의
461301034,조발도,여수시,43.1475,비유의
461301035,둔병도,여수시,44.409000000000006,비유의
461301036,적금도,여수시,44.409000000000006,비유의
461301037,여자도,여수시,40.37800480508509,LL(양호집적)
461301038,송여자도,여수시,28.85447528891796,LL(양호집적)
461301039,거문도,여수시,133.32257646432836,HH(취약집적)
461301040,서도,여수시,134.29663343004114,HH(취약집적)
461301041,동도,여수시,128.4671174944757,HH(취약집적)
461301042,초도,여수시,80.7504327009486,비유의
461301043,손죽도,여수시,77.97624501302364,비유의
461301044,소거문도,여수시,78.83767789183477,비유의
461301045,평도,여수시,88.35184680654054,비유의
461301046,광도,여수시,93.32618801082567,비유의
462301001,태인도,광양시,13.741499999999998,LL(양호집적)
462301002,금호도,광양시,3.3720000000000003,LL(양호집적)
467701001,상화도,고흥군,9.895867335450738,LL(양호집적)
467701002,하화도,고흥군,22.81259338511554,LL(양호집적)
467701003,득량도,고흥군,20.50701405483369,LL(양호집적)
467701004,소록도,고흥군,4.4430000000000005,LL(양호집적)
467701005,시산도,고흥군,47.37828929949033,LL(양호집적)
467701006,거금도,고흥군,24.9015,LL(양호집적)
467701007,연흥도,고흥군,27.89507303607728,LL(양호집적)
467701008,죽도,고흥군,43.64273139452439,비유의
467701009,지죽도,고흥군,42.489,비유의
467701010,첨도,고흥군,37.30649434892473,LL(양호집적)
467701011,오도,고흥군,18.504,LL(양호집적)
467701012,취도,고흥군,24.6885,LL(양호집적)
467701013,외나로도,고흥군,35.023500000000006,비유의
467701014,사양도,고흥군,35.023500000000006,LL(양호집적)
467701015,애도,고흥군,48.64597975280544,LL(양호집적)
467701016,수락도,고흥군,39.745667662074965,LL(양호집적)
467701017,우도,고흥군,20.9565,LL(양호집적)
467701018,백일도,고흥군,35.103,LL(양호집적)
467701019,옥금도,고흥군,28.8435,LL(양호집적)
467701020,원주도,고흥군,37.1625,LL(양호집적)
467701021,진지도,고흥군,34.21088905727761,LL(양호집적)
467701022,대옥대도,고흥군,38.50057343354854,LL(양호집적)
467701023,내나로도,고흥군,35.023500000000006,비유의
467801001,장도,보성군,22.818304503389413,LL(양호집적)
467801002,해도,보성군,18.842166964415743,LL(양호집적)
467801003,지주도,보성군,18.14133046441282,LL(양호집적)
468001001,장재도,장흥군,19.143,LL(양호집적)
468001002,노력도,장흥군,48.1005,비유의
468101001,가우도,강진군,23.139,LL(양호집적)
468201001,상마도,해남군,43.2572502894196,비유의
468201002,중마도,해남군,42.76173275895794,비유의
468201003,하마도,해남군,42.3259450618586,비유의
468201004,어불도,해남군,53.80499980325606,비유의
468201005,임하도,해남군,30.993,비유의
468201006,금호도,해남군,29.709000000000003,LL(양호집적)
468201007,시하도,해남군,61.22431413221642,비유의
468401001,탄도,무안군,44.14814970928576,비유의
468701001,상낙월도,영광군,94.8509253524948,비유의
468701002,하낙월도,영광군,92.84553371815636,비유의
468701003,소각시도,영광군,59.48940117063782,비유의
468701005,송이도,영광군,65.0580023709368,HH(취약집적)
468701006,안마도,영광군,130.54457764714618,HH(취약집적)
468701007,대석만도,영광군,134.1039683023928,HH(취약집적)
468701008,죽도,영광군,133.6764238041958,HH(취약집적)
468701009,횡도,영광군,127.17928273982514,HH(취약집적)
468701010,대각이도,영광군,105.2576719234991,HH(취약집적)
468901001,완도,완도군,12.441,LL(양호집적)
468901002,평일도,완도군,75.69839107046796,비유의
468901003,충도,완도군,36.52274068867768,비유의
468901004,우도,완도군,52.38900408061848,비유의
468901005,다랑도,완도군,51.235373998824514,비유의
468901006,황제도,완도군,97.992924781497,비유의
468901007,신도,완도군,40.342577765751415,비유의
468901008,원도,완도군,82.34044206485547,비유의
468901009,장도(금일읍),완도군,81.83203044886493,비유의
468901010,소랑도,완도군,47.77435045653328,비유의
468901011,섭도,완도군,51.68322489548933,비유의
468901012,노화도,완도군,82.74515286272043,비유의
468901013,장사도,완도군,87.26286636492733,비유의
468901014,노록도,완도군,80.45645161729041,비유의
468901015,마삭도,완도군,72.8361691511781,비유의
468901016,넙도(노화읍),완도군,82.6929566060381,비유의
468901017,대정원도,완도군,78.83561946420554,비유의
468901018,마안도,완도군,78.56185810788214,비유의
468901019,어룡도,완도군,69.15635010859027,비유의
468901020,대장구도,완도군,75.05742251380808,비유의
468901021,후장구도,완도군,81.81536100460374,비유의
468901022,서넙도,완도군,84.83151696669037,비유의
468901023,죽굴도,완도군,83.81156500245108,비유의
468901024,사후도,완도군,20.778960555807945,LL(양호집적)
468901025,고마도,완도군,23.332887870868017,LL(양호집적)
468901026,토도,완도군,35.0895,LL(양호집적)
468901027,달도,완도군,29.3235,LL(양호집적)
468901028,흑일도,완도군,62.98533952858101,비유의
468901029,백일도,완도군,52.90713916832668,비유의
468901030,서화도,완도군,57.54277188028857,비유의
468901031,동화도,완도군,53.259076328933176,비유의
468901032,양도,완도군,62.29788253863235,비유의
468901033,신지도,완도군,34.065,비유의
468901034,모황도,완도군,69.88711056551038,비유의
468901035,고금도,완도군,31.701,LL(양호집적)
468901036,넙도(고금면),완도군,54.15108091045747,LL(양호집적)
468901037,초완도,완도군,55.32674014894843,LL(양호집적)
468901038,조약도,완도군,46.3065,비유의
468901039,청산도,완도군,46.32703132852944,비유의
468901040,장도(청산면),완도군,37.762626065967225,비유의
468901041,대모도,완도군,30.59425388756386,비유의
468901042,소모도,완도군,25.464502627115635,비유의
468901043,여서도,완도군,86.7515916393674,비유의
468901044,소안도,완도군,40.39962175975331,비유의
468901045,당사도,완도군,103.56124470157368,비유의
468901046,횡간도,완도군,63.34970684535544,비유의
468901047,구도,완도군,71.84296771982162,비유의
468901048,금당도,완도군,33.5361619996411,LL(양호집적)
468901049,비견도,완도군,31.041887072985627,비유의
468901050,허우도,완도군,27.925356975272805,LL(양호집적)
468901051,보길도,완도군,91.23044213818284,비유의
468901052,예작도,완도군,96.57563983478109,비유의
468901053,생일도,완도군,64.43069575311418,비유의
468901054,덕우도,완도군,81.43904343209795,비유의
469001001,진도,진도군,10.038,LL(양호집적)
469001002,저도,진도군,24.97031761120896,비유의
469001003,금호도,진도군,37.72306139398047,LL(양호집적)
469001004,모도(의신면),진도군,31.89463157137353,LL(양호집적)
469001005,접도,진도군,31.3335,LL(양호집적)
469001006,상구자도,진도군,41.28177715662077,비유의
469001007,하구자도,진도군,42.34881407968908,LL(양호집적)
469001008,죽도(임회면),진도군,33.659435185073086,비유의
469001009,장도,진도군,39.64430936844103,비유의
469001010,관매도,진도군,67.15741087818984,비유의
469001011,동거차도,진도군,83.57688939701751,비유의
469001012,서거차도,진도군,85.6840669987973,비유의
469001013,상하죽도,진도군,84.14431154473542,비유의
469001014,하조도,진도군,59.487226984542446,비유의
469001015,대마도,진도군,72.11575211761831,비유의
469001016,소마도,진도군,69.853163138132,비유의
469001017,관사도,진도군,68.74865672820275,비유의
469001018,나배도,진도군,63.32207665723482,비유의
469001019,상조도,진도군,58.86486173417577,비유의
469001020,성남도,진도군,50.56273788604869,비유의
469001021,소성남도,진도군,52.2192089536896,비유의
469001022,죽항도,진도군,55.570054559352926,비유의
469001023,독거도,진도군,53.5539507616442,비유의
469001024,슬도,진도군,52.32169695900693,비유의
469001025,탄항도,진도군,56.40229084722687,비유의
469001026,혈도(독거도리),진도군,60.16058171446831,비유의
469001027,청등도,진도군,61.439057210763295,비유의
469001028,모도(조도면),진도군,68.33007356462711,비유의
469001029,맹골도,진도군,99.26954138686934,비유의
469001030,죽도(조도면),진도군,99.5070360904135,비유의
469001031,곽도,진도군,100.95387776948756,비유의
469001032,진목도,진도군,75.69999579935546,비유의
469001033,갈목도,진도군,78.03357035456125,비유의
469001034,옥도,진도군,61.83212993865531,비유의
469001035,눌옥도,진도군,71.18787687700359,비유의
469001036,외병도,진도군,70.82831397049429,비유의
469001037,내병도,진도군,66.09082131544734,비유의
469001038,가사도,진도군,49.24143936920454,비유의
469001039,혈도(가사도리),진도군,52.36760539482036,비유의
469001040,주지도,진도군,47.06660510707991,비유의
469001041,양덕도,진도군,46.70146750984196,비유의
469001042,송도,진도군,52.90053205810307,비유의
469001043,광대도,진도군,54.78413619454516,비유의
469101001,지도,신안군,50.3115,비유의
469101002,어의도,신안군,89.5318295845055,비유의
469101003,대포작도,신안군,62.56850753148776,비유의
469101004,소포작도,신안군,64.78793903391315,비유의
469101005,송도,신안군,50.9265,비유의
469101006,사옥도,신안군,55.8045,비유의
469101007,선도,신안군,45.13645145723408,비유의
469101008,압해도,신안군,16.9755,LL(양호집적)
469101009,우간도,신안군,34.41837321564506,LL(양호집적)
469101010,고이도,신안군,41.66797534241864,비유의
469101011,매화도,신안군,48.76074938788288,비유의
469101012,마산도,신안군,48.75713779913684,비유의
469101013,황마도,신안군,46.767512616250144,비유의
469101014,가란도,신안군,12.081,LL(양호집적)
469101015,증도,신안군,70.30799999999999,비유의
469101016,화도,신안군,70.30799999999999,비유의
469101017,병풍도,신안군,78.27580308452194,비유의
469101018,대기점도,신안군,82.04100154446262,비유의
469101019,소기점도,신안군,84.5292502075632,비유의
469101020,소악도,신안군,85.68234420399874,비유의
469101021,임자도,신안군,72.984,비유의
469101022,재원도,신안군,82.37573628842047,비유의
469101023,부남도,신안군,100.619246920632,비유의
469101024,수도,신안군,58.3695,비유의
469101025,자은도,신안군,66.91350000000001,비유의
469101026,비금도,신안군,10.0,비유의
469101027,수치도,신안군,86.79368096959392,비유의
469101028,상수치도,신안군,71.79134569172325,비유의
469101029,도초도,신안군,100.36204723471678,비유의
469101030,우이도,신안군,128.12838611349702,HH(취약집적)
469101031,동소우이도,신안군,121.37051190057346,HH(취약집적)
469101032,서소우이도,신안군,123.22580186322652,HH(취약집적)
469101033,대흑산도,신안군,184.97417505226383,HH(취약집적)
469101034,장도,신안군,192.145960873446,HH(취약집적)
469101035,영산도,신안군,178.56262719812736,HH(취약집적)
469101036,대둔도,신안군,172.09092015556524,HH(취약집적)
469101037,홍도,신안군,220.71127904125632,HH(취약집적)
469101038,상태도,신안군,186.49126252118927,HH(취약집적)
469101039,중태도,신안군,187.4262713059643,HH(취약집적)
469101040,하태도,신안군,184.0020488741624,HH(취약집적)
469101041,가거도,신안군,236.43462649341896,HH(취약집적)
469101042,만재도,신안군,163.93576671630376,HH(취약집적)
469101043,다물도,신안군,174.5817903632535,HH(취약집적)
469101044,하의도,신안군,102.24131399819632,HH(취약집적)
469101045,개도,신안군,97.6657881518833,HH(취약집적)
469101046,장병도,신안군,90.64358685024482,HH(취약집적)
469101047,문병도,신안군,89.99522832737048,HH(취약집적)
469101048,능산도,신안군,102.5368897933227,HH(취약집적)
469101049,대야도,신안군,105.73292888278688,HH(취약집적)
469101050,신도,신안군,110.30819060169031,HH(취약집적)
469101051,장재도,신안군,104.80762620649062,HH(취약집적)
469101052,옥도,신안군,83.48775049413125,비유의
469101053,상하태도,신안군,66.63729953919358,비유의
469101054,기도,신안군,90.65240074843724,비유의
469101055,평사도,신안군,34.11058495883814,비유의
469101056,고사도,신안군,31.92750028969985,비유의
469101057,장산도,신안군,88.81228337651879,비유의
469101058,백야도,신안군,56.51065821116795,비유의
469101059,막금도,신안군,92.57552199336416,비유의
469101060,마진도,신안군,52.01370130433645,비유의
469101061,율도(장산면),신안군,26.4574431007134,비유의
469101062,안좌도,신안군,66.4365,비유의
469101063,요력도,신안군,83.76575238396137,비유의
469101064,자라도,신안군,71.238,비유의
469101065,부소도,신안군,71.238,비유의
469101066,박지도,신안군,71.238,비유의
469101067,반월도,신안군,71.238,비유의
469101068,사치도,신안군,79.9140178492796,비유의
469101069,팔금도,신안군,58.146,비유의
469101070,매도,신안군,63.294,비유의
469101071,암태도,신안군,50.08564583333333,비유의
469101072,추포도,신안군,59.4555,비유의
469101073,당사도,신안군,82.64635908410334,비유의
469101074,초란도,신안군,79.64932883285076,비유의
469101075,율도(지도읍),신안군,58.55369194264368,비유의
469101076,노대도,신안군,67.63707324574924,비유의
469101077,진섬,신안군,87.41716171573327,비유의
469101078,외안도,신안군,18.259587926861503,LL(양호집적)
469101079,역도,신안군,78.61027938961924,비유의
469101080,용출도,신안군,8.917144354879508,LL(양호집적)
469101081,소단도,신안군,71.58449999999999,비유의
